;0
1009;1643525.1645825524
1010;-80662.38312432077
1011;-134297.44099528622
1012;4190893.2170690317
1013;113366.0454281196
1014;-1376308.5428090603
1015;-10361.892808858305
1016;1999498.5601898797
1017;540625.9323448502
1018;1351220.2877750006
1019;-1518062.6187768066
1020;-2742461.24929666
1021;541840.5130656753
1022;-590369.6367105065
1023;-2462159.8591487417
1024;-1456451.7370101893
1025;2410089.5228109676
1026;3497543.7149649737
1027;-866014.6870404454
1028;-3145359.7892820924
1029;3496532.0840624142
1030;-826509.7755506262
1031;97419.41282979865
1032;-977689.3466375413
1033;-535186.5795957809
1034;769127.3509398759
1035;322178.2899153838
1036;1019461.6279094294
1037;1075855.4377774976
1038;-1514526.1021190295
1039;2170939.589038333
1040;-698104.5231893572
1041;45310.471796866084
1042;-802114.8419839432
1043;-112599.98132432252
1044;327760.0145159969
1045;1896119.7527515176
1046;1651179.223604179
1047;2790453.88188638
1048;2920397.100228522
1049;-1641611.335741518
1050;-956780.0373214697
1051;-538669.3206905331
1052;558310.6472978155
1053;-2819290.4165733843
1054;-2915017.5537774255
1055;692054.1611728659
1056;673619.7342169201
1057;-248024.6503052367
1058;-1397718.2942033606
1059;3560488.056889478
1060;-1383138.831355033
1061;-869983.4635827829
1062;2444252.467231253
1063;-1321958.6880426183
1064;-514099.3235421502
1065;-2013659.6763277352
1066;-657991.7063416622
1067;-3307382.8677858757
1068;1977594.2736604903
1069;1136933.1619159775
1070;-2296530.6327160965
1071;422133.17012864444
1072;-504401.3755957944
1073;-29199.567909040023
1074;1932024.57948921
1075;-195231.47320540948
1076;-1267973.5128336651
1077;1784663.9415136543
1078;-1457259.0852306122
1079;975969.5797504666
1080;1833404.2742115194
1081;273357.08963174
1082;-961041.345637233
1083;-715855.8646798702
1084;2033206.7414051779
1085;1974714.6473965887
1086;-1373894.5483291578
1087;-1471321.252571823
1088;-1069913.8432069402
1089;-813585.1777603896
1090;-1192354.282660123
1091;-523816.0205336455
1092;846428.5567376486
1093;-1390654.8985659028
1094;32113.14156985469
1095;2252377.9401509967
1096;2150323.6636808435
1097;-1038136.5955258803
1098;-2294661.8722796645
1099;-702084.8358193235
1100;-1330283.2378046
1101;1739291.821187268
1102;-1209117.7047408952
1103;475509.6059086416
1104;-6328410.562019274
1105;156558.20937447576
1106;-2308522.0485228356
1107;-643734.5751817529
1108;870351.1228454569
1109;4232009.992754342
1110;-1783327.2841110155
1111;684564.5676151179
1112;-914296.4309873013
1113;-1327272.2429313906
1114;-234739.37482959265
1115;535808.1435117535
1116;-340932.66071559093
1117;-290580.32374645537
1118;952265.0488934281
1119;5077370.0696657095
1120;-1345732.2179604534
1121;-898574.0773088355
1122;-1463273.5823191795
1123;-1095126.8632107824
1124;-991964.5903413529
1125;-1921316.5336097572
1126;-625062.6147365533
1127;-796413.0139522133
1128;-1073434.975400554
1129;-809151.2095408868
1130;397038.0881476123
1131;-434615.825648753
1132;-1898878.837296689
1133;-2875122.5185444304
1134;-1216127.919016431
1135;-977912.7318806764
1136;-1481919.7168351968
1137;50906.516608037055
1138;3001569.177042217
1139;2540619.8764140317
1140;1475098.3261857545
1141;4628120.93563883
1142;-194041.5026507401
1143;4790098.546340182
1144;-2416212.6317995284
1145;2249175.999864606
1146;-2460542.5503525576
1147;507726.95549129136
1148;-155186.24011523928
1149;1226730.731354311
1150;-1996197.6294948906
1151;-448141.061486423
1152;-562632.0047370847
1153;-789976.7677753665
1154;-1135752.3646479647
1155;-2832546.0588244996
1156;697615.6523373078
1157;1347773.853124516
1158;135260.86750645377
1159;1807061.7113237781
1160;814237.7482695337
1161;28210.64657423552
1162;-964747.6117816835
1163;-663996.985724098
1164;254586.19514832366
1165;-435953.1869965347
1166;86342.75860543735
1167;1246840.8669108348
1168;498057.8267648909
1169;189221.76008606842
1170;-212837.2589757871
1171;-515767.4983367196
1172;2033127.288292965
1173;27414.314677311108
1174;-1592501.2266005818
1175;-1933858.3110743817
1176;-1573067.729617143
1177;501338.7272143811
1178;-648277.615537761
1179;-1669265.996496346
1180;-839957.1133790668
1181;3659.6704277582467
1182;-1724592.9266725034
1183;622699.6758869204
1184;-4212546.362364404
1185;446546.87552656955
1186;-429416.6807132093
1187;-2082983.9938085917
1188;-2244179.746676928
1189;-931515.2401888687
1190;-1645357.4377664942
1191;-864053.2438839822
1192;-1287014.6859402694
1193;2655102.191053705
1194;-947646.8117272272
1195;448107.63997103646
1196;-2476610.949431236
1197;-1291994.7144232327
1198;-540936.6864106273
1199;-420863.34602065943
1200;33762.965906527825
1201;423972.8098702291
